Vorschaubild,Inv.Nr.,Link DIPkatalog,Standort,Herstellungsort,Fundort/Herkunft,Foto Link - Medienserver,Objektbezeichnung,Beschreibung (Museumsobjekt),Objektgeschichte (Museumsobjekt),Material,Technik,Entstehungszeit,Schlagworte,Eingangsart,Eing.Nr.,Lizenzbedingung,Link Museumsdatenbank,Eigentümer,Publizieren,Thema,Sammlung,Copyright,Institution,Bilder zum Objekt,Dateiname
,KFJM4300,https://www.noemuseen.at/objekt-detail/catalog/negativform-68233/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4300.jpg,Negativform,rechteckige Negativform mit Pflanzenrankenmotiv auf Stab;,,Gips,gegossen;modelliert,,,,1416/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4300.jpg,
,KFJM4301,https://www.noemuseen.at/objekt-detail/catalog/negativform-68234/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4301.jpg,Negativform,rundbogenförmige Negativform mit stilisierten Blütenranken;,,Gips,gegossen;modelliert,,,,1417/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4301.jpg,
,KFJM4302,https://www.noemuseen.at/objekt-detail/catalog/negativform-68235/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4302.jpg,Negativform,rechteckige Negativform mit einfacher Längsrille;,,Gips,gegossen;modelliert,,,,1419/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4302.jpg,
,KFJM4303,https://www.noemuseen.at/objekt-detail/catalog/negativform-68336/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4303.jpg,Negativform,"große, annähernd rundbogenförmige Negativform mit der Darstellung einer weiblichen Gestalt (Venus?) und stehendem kleinem Amor (?) mit Pfeil und Bogen;",,Gips,gegossen;modelliert,,,,1418/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4303.jpg,
,KFJM4304a-b,https://www.noemuseen.at/objekt-detail/catalog/negativform-68237/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4304a-b.jpg,Negativform,"zweiteilige, rechteckige Negativform (Gußform) mit der Darstellung einer Männerfigur mit Leibrock; fußseitiges Eingußloch sowie Kerben und Zapfen zur Fixierung;",,Gips,gegossen;modelliert,,,,1420/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4304a-b.jpg,
,KFJM4305a-b,https://www.noemuseen.at/objekt-detail/catalog/negativform-68238/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4305a-b.jpg,Negativform,"zweiteilige, rechteckige Negativform (Gußform) mit der Darstellung einer Frauenfigur; fußseitiges Eingußloch sowie Kerben und Zapfen zur Fixierung;",,Gips,gegossen;modelliert,,,,1421/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4305a-b.jpg,
,KFJM4317,https://www.noemuseen.at/objekt-detail/catalog/negativform-68250/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,"https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4317a.JPG
https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4317b.JPG",Negativform,hausförmige Negativform mit doppeltem Blattmotiv; auf der Rückseite bogenförmige Rille;,,Gips,gegossen,,,,1433/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4317a.JPG;\\digs505n\noemuseen\0272\KFJM4317b.JPG,
,KFJM4353,https://www.noemuseen.at/objekt-detail/catalog/negativform-68286/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4353.JPG,Negativform,"in einen Gipsquader ist eine Negativform aus einem härteren, grünlichen Material in Form einer Schale/Pokals eingegossen;",,Gips,gegossen,,,,1498/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4353.JPG,
,KFJM4360,https://www.noemuseen.at/objekt-detail/catalog/negativform-68293/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4360.JPG,Negativform,runde Negativform für ein bärtiges Männergesicht;,,Gips,gegossen,,,,1505/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4360.JPG,
,KFJM4361,https://www.noemuseen.at/objekt-detail/catalog/negativform-68294/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4361.JPG,Negativform,"Negativform für vierfaches, verschlungenes Herz- und Lilienmuster;",,Gips,gegossen,,,,1506/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4361.JPG,
,KFJM4362,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4362.JPG,Negativform,ovale Negativform für ein verschlungenes Rankenmotiv;,,Gips,gegossen,,,,1507/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4362.JPG,
,KFJM4363,https://www.noemuseen.at/objekt-detail/catalog/negativform-68296/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4363.JPG,Negativform,spitzbogenförmige Negativform für ein Pokalmotiv mit drei Blättern;,,Gips,gegossen,,,,1508/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4363.JPG,
,KFJM4364,https://www.noemuseen.at/objekt-detail/catalog/negativform-68297/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4364.JPG,Negativform,"ovale Negativform für symmetrisches Motiv: durch eine, von Blättern unterbrochene Achse verbundene Blumenräder (Türklopfermotiv?); Einritzung auf der Rückseite: ""J.P. 1870"" und weiteres Kürzel;",,Gips,gegossen,1870,,,1509/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4364.JPG,
,KFJM4365,https://www.noemuseen.at/objekt-detail/catalog/negativform-68298/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4365.JPG,Negativform,"längliche Negativform für einen Eichenzweig mit zwei Eicheln; auf der Seite eingeprägt: ""I"";",,Gips,gegossen,,,,1510/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4365.JPG,
,KFJM4366,https://www.noemuseen.at/objekt-detail/catalog/negativform-68299/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4366.JPG,Negativform,tropfenförmige Negativorm für ein feines Perlenleistenmotiv in Herzform mit Blatt- und Fruchtornamenten;,,Gips,gegossen,,,,1511/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4366.JPG,
,KFJM4367,https://www.noemuseen.at/objekt-detail/catalog/negativform-68300/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4367.JPG,Negativform,rundlich dreieckige Negativorm mit Pflanzen- und Rankenmuster;,,Gips,gegossen,,,,1512/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4367.JPG,
,KFJM4368,https://www.noemuseen.at/objekt-detail/catalog/negativform-68301/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4368.JPG,Negativform,"spitzbogenförmige Negativorm für ein  Rankenmotiv mit aufgesetztem Blatt; auf der Rückseite eingeritzt: ""FK 1834"";",,Gips,gegossen,1834,,,1513/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4368.JPG,
,KFJM4369,https://www.noemuseen.at/objekt-detail/catalog/negativform-68302/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4369.JPG,Negativform,tropfenförmige Negativorm für ein Rankenmotiv mit aufgesetztem Blatt;,,Gips,gegossen,,,,1514/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4369.JPG,
,KFJM4370,https://www.noemuseen.at/objekt-detail/catalog/negativform-68303/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4370.JPG,Negativform,"mehrkantige Negativform mit Sternmotiv, darunter spiegelverkehrt eingeritzt ""FB"" und die Zahl ""15"";",,Gips,gegossen,,,,1516/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4370.JPG,
,KFJM4371,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-68304/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4371.JPG,Kachelmodel,"Model für eine quadratische Kachel mit symmetrischem, floralem Motiv;",,Keramik/Ton,gebrannt;gepresst,,,,1517/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4371.JPG,
,KFJM4372,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-68305/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4372.JPG,Kachelmodel,"Model für eine rechteckige Kachel: in einem Kreis befindet sich ein stilisiertes Blättermotiv, auf dessen rechter Seite sich ein Anschlußmotiv für die nächste Kachel befindet; auf der Rückseite folgende Einritzungen: ""FK 1811"";",,Keramik/Ton,gebrannt;gepresst,1811,,,1518/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4372.JPG,
,KFJM4373,https://www.noemuseen.at/objekt-detail/catalog/kachelmodel-68306/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4373.JPG,Kachelmodel,Model für einen kapitelförmigen Zierziegel mit stilisiertem Blattmotiv;,,Keramik/Ton,gebrannt;gepresst,,,,1519/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4373.JPG,
,KFJM4377,https://www.noemuseen.at/objekt-detail/catalog/negativform-68310/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4377.JPG,Negativform,rundbogenförmige Negativform für ein symmetrisches Blattmotiv;,,Gips,gegossen,,,,1523/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4377.JPG,
,KFJM4385a-b,https://www.noemuseen.at/objekt-detail/catalog/negativform-68318/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4385a-b.JPG,Negativform,abgerundet rechteckige Negativform mit symmetrischem Ranken- und Schneckenmuster; vermutlich für Stuckarbeiten;,,Gips,gegossen,,,,1531/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4385a-b.JPG,
,KFJM4386,https://www.noemuseen.at/objekt-detail/catalog/negativform-68319/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4386.JPG,Negativform,quaderförmige Negativform für ein Ziermusterband mit Dreiecksmotiven;,,Gips,gegossen,,,,1532/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4386.JPG,
,KFJM4389,https://www.noemuseen.at/objekt-detail/catalog/negativform-68322/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4389.JPG,Negativform,"Fragment einer Negativform für ein Reliefbild mit floralen Elementen; auf diesem Teil befindet sich eine schneckenartig gebogene Ranke, die in einer Blüte endet;",,Gips,gegossen,,,,1535/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4389.JPG,
,KFJM4392,https://www.noemuseen.at/objekt-detail/catalog/negativform-68325/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4392.JPG,Negativform,mehrkantige Negativform für ein Schalenmotiv mit Blumenschmuck; Eingußloch am oberen Ende;,,Gips,gegossen,,,,1538/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4392.JPG,
,KFJM4393,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4393.JPG,Kachel,"dunkelbraun glasierte Eckkachel in schlichter Kapitelform; auf der Oberseite Aufkleber mit der Aufschrift ""Weitersfeld"";",,Keramik/Ton,gebrannt;gepresst;glasiert,,,,1539/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4393.JPG,
,KFJM4405a-b,https://www.noemuseen.at/objekt-detail/catalog/negativform-68338/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4405a-b.JPG,Negativform,"hausförmige Negativform für die Darstellung einer antik anmutenden, nackten Frauengestalt, die an einer Säule lehnt;",,Gips,gegossen,,,,1551/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4405a-b.JPG,
,KFJM4407a-b,https://www.noemuseen.at/objekt-detail/catalog/negativform-68340/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4407a-b.JPG,Negativform,runde Negativform mit der Darstellung eines antik anmutenden Gesichtes mit aufgebundenem Kopftuch in einem Kreis;,,Gips,gegossen,,,,1553/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4407a-b.JPG,
,KFJM4408,https://www.noemuseen.at/objekt-detail/catalog/negativform-68341/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4408.JPG,Negativform,sichelförmige Negativform für eine gebogene Weinranke (vermutlich für Stuckarbeiten);,,Gips,gegossen,,,,1554/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4408.JPG,
,KFJM4409,https://www.noemuseen.at/objekt-detail/catalog/negativform-68342/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4409.JPG,Negativform,"spitzbogenförmige Negativform für ein stilisiertes, gewelltes Blattmotiv;",,Gips,gegossen,,,,1555/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4409.JPG,
,KFJM4410,https://www.noemuseen.at/objekt-detail/catalog/negativform-68343/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4410.JPG,Negativform,rechteckige Negativform für ein Perlenreihenmotiv (für Stuckarbeiten);,,Gips,gegossen,,,,1556/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4410.JPG,
,KFJM4427,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4427.JPG,Kachel,"große, glatte, dunkelgrün glasierte Kachel, die mit hellgrüner Glasierung im Schleifenmuster versehen ist; in der oberen Hälfte ist die Zahl ""19."" in dunkelroter Farbe aufgemalt; ",,Keramik/Ton,gebrannt;gepresst;glasiert,,,,1573/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4427.JPG,
,KFJM4670,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4670.JPG,Kachel,"flache, scheibenförmige Kachel mit grünlich gesprenkelter Oberflächenglasur und leicht abgeschrägtem Rand; ",,Keramik/Ton,gebrannt;getöpfert;glasiert,,,,1921/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4670.JPG,
,KFJM4672,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4672.JPG,Kachel,"rechteckige, an der Oberseite hellblau glasierte, kleine Kachel mit leicht reliefartiger, symmetrischer Verzierung; ",,Keramik,gebrannt;getöpfert;glasiert,,,,1923/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4672.JPG,
,KFJM4749,https://www.noemuseen.at/objekt-detail/catalog/negativform-68653/,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM4749.JPG,Negativform,"dicke, annähernd quadratische Fußform aus Gips mit etwas abgesetztem Rahmen in den reliefartig die Gußvorlage eingearbeitet ist; Darstellung eines Frauenkopfes im Profil mit Haube in Medaillonform, darum symmetrisch angeordnete florale Zierelemente (Lilien?); seitlich eingeritzt ""17"";",,Gips,gegossen;geritzt,,,,2000/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM4749.JPG,
,KFJM5495,,"Kaiser Franz Josef Museum Baden, Hochstraße 51, 2500 Baden",,,https://media.noemuseen.at/imdas/Bilder/digs505n/noemuseen/0272/KFJM5495.jpg,Kachel,"große, rechteckige Ofenkachel aus Rotton mit einer glatten Oberfläche in die ein einfaches U-förmiges Rankenmotiv eingeritzt ist; die Rückseite weist drei regelmäßige Ausnehmungen auf;",,Keramik/Ton,gebrannt;gepresst;modelliert,,,Schenkung,2945/2003,CC BY-ND 4.0 - Namensnennung-Keine Bearbeitung,https://datenbank.noemuseen.at/0272,Verein Niederösterreichische Landesfreunde,1x,,Kaiser Franz Josef Museum Baden,Verein d. N.Ö. Landesfreunde,Kaiser Franz Josef Museum Baden,\\digs505n\noemuseen\0272\KFJM5495.JPG,
